,로그인,1,세션이 만료되었습니다.,セッションが終了しました。,The session has expired.,Сессия истекла,Сесія закінчилася.
,대시보드,2,대시보드,ダッシュボード,Dashboard,Панель,Панель
,대시보드>탐지 현황,3,탐지 현황,検知状況,Detection Status,Состояние обнаружения,Стан виявлення
,대시보드>탐지 현황,4,탐지한 룰과 로그 등의 정보를 제공합니다.,検知ルールやログなどの情報を提供します。,It provides the information such as detected rules and logs.,Обзор обнаруженных угроз.,Огляд виявлених загроз.
,대시보드>탐지 현황,5,탐지,検知,Detection,Обнаружение,Виявлення
,대시보드>요약,6,건,件, ,Запрос,Запит
,대시보드>탐지 현황,7,1일,１日,A Day,За день,За день
,대시보드>탐지 현황,8,3일,３日,3 Days,Последние 3 дня,Останні 3 дні
,대시보드>탐지 현황,9,1주일,１週間,A Week,Последняя неделя,Останній тиждень
,대시보드>탐지 현황,10,웹 사이트별 탐지 건 수,Web サイト別、検知件数,Detections per Website,Обнаружения для веб-сайта,Виявлення на веб-сайті
,대시보드>탐지 현황,11,탐지 룰 Top 10,検知ルール Top 10,Top 10 Detection Rules,ТОП 10 правил обнаружения,ТОП 10 правил виявлення
,대시보드>요약,12,공격자 IP별 Top 10,攻撃者 IP別 Top 10,Top 10 Attack IPs,Топ 10 атакующих IP,Топ 10 IP-адрес атак
,대시보드>탐지 현황,13,국가별 Top 10,国別 Top 10,Top 10 Attack Countries,Топ 10 источников атаки,Топ 10 джерел атаки
,대시보드>요약,14,요약,まとめ,Overview,Обзор,Підсумок
,대시보드>요약,15,아래 탐지 관련 내용은 최근 1일간의 탐지 로그를 기반으로 생성되었습니다.,この検知情報は直近１日の検知ログをもとに提供します。,The information below is based on the detection log data within 24 hours.,Приведенная ниже информация основана на данных журнала обнаружения в течение 24 часов.,Наведена нижче інформація базується на даних журналу виявлення протягом 24 годин.
,대시보드>요약,16,탐지 건 수,検知件数,Detections,Обнаружения,Виявлення
,대시보드>요약,17,최근 5초간,直近5秒間,Last 5 seconds,За последние 5 секунд,За останні 5 секунд
,대시보드>요약,18,웹 사이트별 Top 10,Web サイト別 Top 10,Top 10 Target Websites,Топ 10 целевых сайтов,Топ-10 веб-сайтів в цілях
,대시보드>요약,19,WAPPLES 리소스 사용률,WAPPLES リソース使用率,WAPPLES Resource Usage,WAPPLES Использование ресурсов,WAPPLES Використання ресурсів
,대시보드>요약,20,자가점검 상태,自己診断ステータス,Self-diagnostics Status,Самодиагностика,Самодіагностика
,대시보드>요약,21,WAPPLES 상태,WAPPLES 状態,WAPPLES Status,Статус WAPPLES,Статус WAPPLES
,대시보드>요약,22,현재 서버 시각,現在のサーバ時刻,Current Server Time,Текущее время сервера,Поточний час сервера
,보안 설정>S/W 바이패스,23,S/W 바이패스,S/W バイパス,S/W Bypass,S/W Bypass,S/W Bypass
,대시보드>요약,24,모니터링 모드,モニタリング モード,Monitoring Mode,Режим мониторинга,Режим моніторингу
,대시보드>요약,25,지원하지 않음,N/A,N/A,N/A,N/A
,대시보드>요약,26,사용 안 함,使用しない,No Use,Отключено,Відключено
,대시보드>요약,27,로그 자동 백업,ログ自動バックアップ,Automatic Log Backup,Автоматическое резервное копирование журнала,Автоматичне резервне копіювання журналу
,대시보드>요약,28,설정 자동 백업,設定自動バックアップ,Automatic Settings Backup,Автоматическое резервное копирование настроек,Автоматичне резервне копіювання налаштувань
,대시보드>시스템 현황,29,확인,確認,Confirm,Подтвердить,Підтвердіть
,통계 분석>그래프,30,적용,反映,Apply,Применить,Застосувати
,대시보드>요약,31,위험,危険,Critical,Критический,Критичний
